PMY,BMY
19943.33279,5189.059806
19375.19102,5041.234883
18775.91819,4885.309964
18221.39626,4741.028789
17639.63465,4589.660117
17670.7657,4597.760113
17184.34295,4471.197679
16550.04768,4306.160264
17271.89905,4493.978917
18330.35495,4769.378774
18993.83558,4942.009934
19061.93477,4959.728675
19061.93477,4959.728675
19246.77541,5007.8224
19519.17216,5078.697363
19439.39882,5057.941124
19227.3185,5002.759903
18987.99851,4940.491185
19974.46385,5197.159802
21982.41697,5719.609531
21624.40982,5626.459579
21252.78284,5529.765879
20768.30578,5403.709695
20318.85116,5286.766005
19295.41769,5020.478644
18207.77642,4737.48504
17799.18131,4631.172596
17480.08798,4548.147639
17186.28864,4471.703928
17102.62393,4449.93519
17338.05254,4511.191408
16900.27206,4397.285217
18507.41283,4815.4475
19772.11199,5144.509829
21064.05081,5480.659655
21141.87845,5500.909644
21058.21374,5479.140905
21599.11584,5619.878332
21809.25047,5674.553304
21778.11941,5666.453308
21583.55031,5615.828334
20995.95163,5462.940914
21318.93633,5546.97837
23570.10083,6132.709316
23315.21531,6066.390601
22871.59776,5950.96566
22091.37566,5747.959516
21603.00722,5620.890832
20200.16401,5255.884771
19676.77313,5119.703592
18877.09412,4911.63495
18593.02324,4837.722488
18435.42227,4796.71626
18672.79657,4858.478728
19340.16858,5032.122388
20221.56661,5261.453518
23885.30277,6214.721774
25667.55573,6678.446533
26833.02464,6981.690125
26938.09196,7009.027611
26303.79669,6843.990197
27175.46626,7070.790079
27533.4734,7163.940031
27580.16999,7176.090024
26980.89716,7020.165105
25064.39152,6521.509114
24430.09625,6356.4717
26371.89587,6861.708938
25852.39637,6726.540258
24959.3242,6494.171628
23751.05009,6179.790542
22513.59061,5857.815709
21505.72267,5595.578345
20898.66708,5437.628427
20235.18645,5264.997267
19820.75426,5157.166073
19754.60077,5139.953582
20172.92433,5248.797275
20017.26905,5208.297296
20369.43912,5299.928498
23605.12326,6141.821811
25626.69622,6667.815288
26628.72709,6928.533903
26718.22887,6951.821391
26062.531,6781.215229
27154.06366,7065.221332
27570.44153,7173.558776
27743.60803,7218.615002
27216.32577,7081.421324
25163.62176,6547.327851
24367.83414,6340.271708
26332.98205,6851.583943
25945.78954,6750.840245
25214.20973,6560.490344
24206.34179,6298.25298
23161.50572,6026.396871
21828.70738,5679.615801
21102.96463,5490.784649
20192.38124,5253.859772
19713.74126,5129.322337
19474.42126,5067.053619
19918.03881,5182.478559
20221.56661,5261.453518
20659.34708,5375.359709
24068.19772,6262.309249
25893.25589,6737.171502
27033.43081,7033.833848
27023.70236,7031.3026
26494.47441,6893.602671
27527.63633,7162.421282
28173.60574,7330.496194
28117.1807,7315.814952
27630.75795,7189.252518
25272.58046,6575.677836
24554.62047,6388.871683
26755.197,6961.440136
26422.48384,6874.871431
25544.9772,6646.552799
24492.35836,6372.671692
23272.4101,6055.253106
21904.58933,5699.359541
21089.3448,5487.240901
20303.28563,5282.716007
19927.76727,5185.009808
19779.89475,5146.534828
19972.51816,5196.653552
19881.07068,5172.859814
20713.82643,5389.534702
23677.11383,6160.553052
25305.6572,6584.284082
26735.74009,6956.377639
26655.96676,6935.621399
25813.48255,6716.415263
26490.58302,6892.590172
27617.13812,7185.708769
27819.48998,7238.358742
27119.04122,7056.108837
24928.19315,6486.071633
24360.05137,6338.246709
26541.17099,6905.752665
26015.83442,6769.065236
25031.31477,6512.902869
24112.94862,6273.952993
23186.7997,6032.978118
